htm_link,download_link
https://ec.europa.eu/eurostat/cache/metadata/en/aei_fm_salpest09_esqrsps_dk.htm,https://ec.europa.eu/eurostat/api/dissemination/files?file=metadata/aei_fm_salpest09_esqrsps_dk.sdmx.zip
https://ec.europa.eu/eurostat/cache/metadata/en/aei_fm_salpest09_esqrsps_ee.htm,https://ec.europa.eu/eurostat/api/dissemination/files?file=metadata/aei_fm_salpest09_esqrsps_ee.sdmx.zip
https://ec.europa.eu/eurostat/cache/metadata/en/aei_fm_salpest09_esqrsps_el.htm,https://ec.europa.eu/eurostat/api/dissemination/files?file=metadata/aei_fm_salpest09_esqrsps_el.sdmx.zip
https://ec.europa.eu/eurostat/cache/metadata/en/aei_fm_salpest09_esqrsps_es.htm,https://ec.europa.eu/eurostat/api/dissemination/files?file=metadata/aei_fm_salpest09_esqrsps_es.sdmx.zip
https://ec.europa.eu/eurostat/cache/metadata/en/aei_fm_salpest09_esqrsps_fi.htm,https://ec.europa.eu/eurostat/api/dissemination/files?file=metadata/aei_fm_salpest09_esqrsps_fi.sdmx.zip
https://ec.europa.eu/eurostat/cache/metadata/en/aei_fm_salpest09_esqrsps_fr.htm,https://ec.europa.eu/eurostat/api/dissemination/files?file=metadata/aei_fm_salpest09_esqrsps_fr.sdmx.zip
https://ec.europa.eu/eurostat/cache/metadata/en/aei_fm_salpest09_esqrsps_hr.htm,https://ec.europa.eu/eurostat/api/dissemination/files?file=metadata/aei_fm_salpest09_esqrsps_hr.sdmx.zip
https://ec.europa.eu/eurostat/cache/metadata/en/aei_fm_salpest09_esqrsps_hu.htm,https://ec.europa.eu/eurostat/api/dissemination/files?file=metadata/aei_fm_salpest09_esqrsps_hu.sdmx.zip
https://ec.europa.eu/eurostat/cache/metadata/en/aei_fm_salpest09_esqrsps_ie.htm,https://ec.europa.eu/eurostat/api/dissemination/files?file=metadata/aei_fm_salpest09_esqrsps_ie.sdmx.zip
https://ec.europa.eu/eurostat/cache/metadata/en/aei_fm_salpest09_esqrsps_is.htm,https://ec.europa.eu/eurostat/api/dissemination/files?file=metadata/aei_fm_salpest09_esqrsps_is.sdmx.zip
https://ec.europa.eu/eurostat/cache/metadata/en/aei_fm_salpest09_esqrsps_it.htm,https://ec.europa.eu/eurostat/api/dissemination/files?file=metadata/aei_fm_salpest09_esqrsps_it.sdmx.zip
https://ec.europa.eu/eurostat/cache/metadata/en/aei_fm_salpest09_esqrsps_lt.htm,https://ec.europa.eu/eurostat/api/dissemination/files?file=metadata/aei_fm_salpest09_esqrsps_lt.sdmx.zip
https://ec.europa.eu/eurostat/cache/metadata/en/aei_fm_salpest09_esqrsps_lu.htm,https://ec.europa.eu/eurostat/api/dissemination/files?file=metadata/aei_fm_salpest09_esqrsps_lu.sdmx.zip
https://ec.europa.eu/eurostat/cache/metadata/en/aei_fm_salpest09_esqrsps_lv.htm,https://ec.europa.eu/eurostat/api/dissemination/files?file=metadata/aei_fm_salpest09_esqrsps_lv.sdmx.zip
https://ec.europa.eu/eurostat/cache/metadata/en/aei_fm_salpest09_esqrsps_mt.htm,https://ec.europa.eu/eurostat/api/dissemination/files?file=metadata/aei_fm_salpest09_esqrsps_mt.sdmx.zip
https://ec.europa.eu/eurostat/cache/metadata/en/aei_fm_salpest09_esqrsps_nl.htm,https://ec.europa.eu/eurostat/api/dissemination/files?file=metadata/aei_fm_salpest09_esqrsps_nl.sdmx.zip
https://ec.europa.eu/eurostat/cache/metadata/en/aei_fm_salpest09_esqrsps_no.htm,https://ec.europa.eu/eurostat/api/dissemination/files?file=metadata/aei_fm_salpest09_esqrsps_no.sdmx.zip
https://ec.europa.eu/eurostat/cache/metadata/en/aei_fm_salpest09_esqrsps_pl.htm,https://ec.europa.eu/eurostat/api/dissemination/files?file=metadata/aei_fm_salpest09_esqrsps_pl.sdmx.zip
https://ec.europa.eu/eurostat/cache/metadata/en/aei_fm_salpest09_esqrsps_pt.htm,https://ec.europa.eu/eurostat/api/dissemination/files?file=metadata/aei_fm_salpest09_esqrsps_pt.sdmx.zip
https://ec.europa.eu/eurostat/cache/metadata/en/aei_fm_salpest09_esqrsps_ro.htm,https://ec.europa.eu/eurostat/api/dissemination/files?file=metadata/aei_fm_salpest09_esqrsps_ro.sdmx.zip
https://ec.europa.eu/eurostat/cache/metadata/en/aei_fm_salpest09_esqrsps_se.htm,https://ec.europa.eu/eurostat/api/dissemination/files?file=metadata/aei_fm_salpest09_esqrsps_se.sdmx.zip
https://ec.europa.eu/eurostat/cache/metadata/en/aei_fm_salpest09_esqrsps_si.htm,https://ec.europa.eu/eurostat/api/dissemination/files?file=metadata/aei_fm_salpest09_esqrsps_si.sdmx.zip
https://ec.europa.eu/eurostat/cache/metadata/en/aei_fm_salpest09_esqrsps_sk.htm,https://ec.europa.eu/eurostat/api/dissemination/files?file=metadata/aei_fm_salpest09_esqrsps_sk.sdmx.zip
https://ec.europa.eu/eurostat/cache/metadata/en/aei_fm_usefert_esms.htm,https://ec.europa.eu/eurostat/api/dissemination/files?file=metadata/aei_fm_usefert_esms.sdmx.zip
https://ec.europa.eu/eurostat/cache/metadata/en/aei_hri_esms.htm,https://ec.europa.eu/eurostat/api/dissemination/files?file=metadata/aei_hri_esms.sdmx.zip
https://ec.europa.eu/eurostat/cache/metadata/en/aei_pestuse_esms.htm,https://ec.europa.eu/eurostat/api/dissemination/files?file=metadata/aei_pestuse_esqrspu_pt.sdmx.zip
https://ec.europa.eu/eurostat/cache/metadata/en/aei_pestuse_esqrs.htm,https://ec.europa.eu/eurostat/api/dissemination/files?file=metadata/aei_pestuse_esqrs.sdmx.zip
https://ec.europa.eu/eurostat/cache/metadata/en/aei_pestuse_esqrspu_at.htm,https://ec.europa.eu/eurostat/api/dissemination/files?file=metadata/aei_pestuse_esqrspu_at.sdmx.zip
https://ec.europa.eu/eurostat/cache/metadata/en/aei_pestuse_esqrspu_be.htm,https://ec.europa.eu/eurostat/api/dissemination/files?file=metadata/aei_pestuse_esqrspu_be.sdmx.zip
https://ec.europa.eu/eurostat/cache/metadata/en/aei_pestuse_esqrspu_bg.htm,https://ec.europa.eu/eurostat/api/dissemination/files?file=metadata/aei_pestuse_esqrspu_bg.sdmx.zip
